date,system,reference,sensor,error
2025-06-20T13:47:00.000,7.74,7.71,pH,0.389105058365762
2025-06-20T13:47:00.000,8.16,8.27,pH,-1.3301088270858457
2025-06-23T11:00:00.000,8.57,8.21,pH,4.384896467722283
2025-06-24T16:45:00.000,8.8,8.43,pH,4.3890865954923015
2025-06-26T11:12:00.000,8.72,8.39,pH,3.9332538736591185
2025-06-27T12:43:00.000,8.67,8.71,pH,-0.45924225028703697
2025-06-30T12:41:00.000,8.7,9.06,pH,-3.9735099337748476
2025-07-01T13:44:00.000,8.77,9.45,pH,-7.195767195767194
2025-07-02T12:58:00.000,8.82,8.72,pH,1.1467889908256839
2025-07-03T12:46:00.000,8.92,8.71,pH,2.4110218140068778
2025-07-07T16:00:00.000,8.88,8.96,pH,-0.8928571428571436
2025-07-08T14:12:00.000,8.87,9.01,pH,-1.5538290788013382
2025-07-09T12:48:00.000,8.87,8.78,pH,1.025056947608199
2025-07-10T12:48:00.000,8.86,8.66,pH,2.3094688221708926
2025-07-11T10:59:00.000,8.93,8.63,pH,3.476245654692919
2025-07-14T11:00:00.000,19.48,20.1,Temperature,-3.0845771144278653
2025-07-14T11:00:00.000,26.7,25.5,Temperature,4.705882352941174
2025-07-14T11:00:00.000,31.3,30.5,Temperature,2.6229508196721336
2025-07-14T11:00:00.000,30.37,29.5,Temperature,2.9491525423728846
2025-07-14T11:00:00.000,34.78,34.5,Temperature,0.811594202898554
2025-07-14T11:00:00.000,37.05,36.5,Temperature,1.5068493150684854
2025-07-14T11:00:00.000,39.85,40.0,Temperature,-0.37499999999999645
2025-07-14T11:00:00.000,49.17,49.5,Temperature,-0.6666666666666632
2025-07-14T11:00:00.000,45.72,46.0,Temperature,-0.6086956521739155
