time,Absorbance (680nm),std,origin
0.0,0.082175,0.0014314910641239338,1.5L
2.735486111111111,0.10999999925,0.006945979882877453,1.5L
3.735069444444444,0.12392500225,0.004149999949799473,1.5L
4.9406944444444445,0.167799998,0.014340380243681438,1.5L
5.734421296296296,0.1982750035,0.0062946419463980365,1.5L
6.884675925925926,0.18875000275,0.015768852683905144,1.5L
8.040219907407407,0.2634499965,0.02210543103854885,1.5L
9.719004629629628,0.33404999975,0.04318645487071156,1.5L
10.73517361111111,0.39277499925000003,0.007431623251364269,1.5L
11.749282407407406,0.37067499775,0.009896255240415059,1.5L
12.734398148148147,0.4375249965,0.05368434990789535,1.5L
13.895138888888889,0.47004999975000006,0.07154945022640002,1.5L
16.94650462962963,0.5824249982499999,0.04512319034137379,1.5L
17.81017361111111,0.25745000349999997,0.057130989744621136,1.5L
18.931180555555553,0.745249986625,0.13364758427483903,1.5L
0.0,0.26271666666666665,0.009948953043746198,100mL
2.875740740740741,0.37468333542346954,0.01679230866625579,100mL
4.115138888888889,0.4631333351135254,0.027419962190525806,100mL
5.087118055555555,0.4393499940633774,0.060425053007405624,100mL
5.867048611111111,0.40959999958674115,0.04556256949339162,100mL
9.93144675925926,0.4423333356777827,0.03707483269034597,100mL
10.96577546296296,0.42933333416779834,0.042926713190241717,100mL
11.95445601851852,0.4798833280801773,0.07311985015560912,100mL
12.93042824074074,0.4860000063975652,0.06833684756654007,100mL
18.00130787037037,0.5087000081936518,0.051810663124962415,100mL
18.93280092592592,0.5048166662454605,0.05291539301337417,100mL
19.93013888888889,0.5023666669925054,0.05885680387308145,100mL
20.85729166666667,0.5313500066598257,0.05740254082218761,100mL
23.98708333333333,0.561366672317187,0.0843723135592386,100mL
0.0,0.08370000000000001,0.002485960578931209,50mL
2.735486111111111,0.0995000005,0.0018654774187877496,50mL
3.735069444444444,0.09820000100000001,0.003812259644882807,50mL
4.9406944444444445,0.096725,0.002643703160342198,50mL
5.734421296296296,0.10320000175,0.00393700482600724,50mL
6.884675925925926,0.107900001,0.004315089794354305,50mL
8.040219907407407,0.11195000050000001,0.007767240569640738,50mL
9.719004629629628,0.11677500049999999,0.009798427307481563,50mL
10.73517361111111,0.13367499975,0.022060734648919222,50mL
11.749282407407406,0.14352499875,0.024730598549503047,50mL
12.734398148148147,0.17742499675,0.04154919362574946,50mL
13.895138888888889,0.18807499875,0.049231317606275964,50mL
16.94650462962963,0.26482500124999997,0.06257013432181631,50mL
17.81017361111111,0.30925000075000003,0.06332969649777338,50mL
18.931180555555553,0.349737497125,0.07803539389178799,50mL
0.0,0.1600499991327524,0.027783027337637926,Reactor
2.877395833333333,0.12142499722540379,0.005168087969612332,Reactor
4.122534722222222,0.14764999970793724,0.0021377572838097085,Reactor
5.097476851851852,0.1961500011384487,0.004222561894676291,Reactor
5.88917824074074,0.21867499873042104,0.01026170122975514,Reactor
6.951446759259259,0.26477500051259995,0.007003985972146599,Reactor
9.942696759259258,0.30037500709295273,0.004663599060566691,Reactor
10.98694444444444,0.289900004863739,0.005458336377436531,Reactor
11.975625,0.31207500398159027,0.009368173118837883,Reactor
12.95159722222222,0.17185000330209732,0.016470274173098782,Reactor
17.09167824074074,0.3032749965786934,0.03224349569838116,Reactor
18.02247685185185,0.25607500970363617,0.00402523290402601,Reactor
18.95396990740741,0.2984499931335449,0.007639933450192765,Reactor
19.95130787037037,0.256375003606081,0.014496529283232171,Reactor
20.87846064814815,0.26444999873638153,0.002896547087580846,Reactor
24.00194444444444,0.20590000227093697,0.02017011235851768,Reactor
